id,Pos,Name,BV,SV,Team,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts
608,2,Hjelde,40,40,LEE,0,0,0,0,0,0,0,0,0,0
221,3,Milner,49,49,LIV,60,2.707,42,1.704,34,1.71,29,1.336,26,1.314
222,3,Henderson,50,50,LIV,84,3.168,79,2.521,81,3.126,75,2.609,75,2.804
223,1,Adrián,44,44,LIV,0,0,15,0.565,8,0.365,0,0,1,0.043
224,2,Matip,50,50,LIV,86,4.075,83,2.568,83,4.071,80,3.044,79,3.463
225,3,Thiago,53,53,LIV,0,0,0,0,0,0,0,0,0,0
226,3,Shaqiri,59,59,LIV,0,0,0,0,0,0,0,0,0,0
227,3,Chamberlain,58,58,LIV,36,1.762,25,1.107,21,1.112,18,0.918,19,0.978
228,4,Firmino,88,88,LIV,71,3.89,51,2.296,42,2.5,43,2.244,45,2.528
229,2,van Dijk,66,66,LIV,88,4.14,86,2.631,85,4.159,80,3.03,84,3.643
230,3,Mané,119,119,LIV,86,5.826,81,4.15,81,5.68,82,4.712,79,5.097
231,1,Alisson,60,60,LIV,0,0,31,1.19,55,2.569,87,3.612,85,3.718
232,3,Fabinho,54,54,LIV,0,0,27,0.831,53,1.983,80,2.616,79,2.773
233,3,Salah,127,126,LIV,85,6.798,81,4.85,81,6.849,79,5.415,78,6.03
234,2,Robertson,70,70,LIV,88,4.303,82,2.649,79,4.102,79,3.166,71,3.325
235,4,Origi,49,49,LIV,7,0.504,9,0.579,8,0.633,8,0.557,8,0.6
236,3,Minamino,52,52,LIV,3,0.184,5,0.271,5,0.322,5,0.292,5,0.31
237,2,Alexander-Arnold,75,75,LIV,80,4.963,84,3.372,83,5.383,80,3.971,83,4.73
238,2,Gomez,48,48,LIV,6,0.226,8,0.235,8,0.323,14,0.522,13,0.534
239,3,Keita,50,50,LIV,74,2.967,70,2.398,68,2.867,57,2.216,59,2.419
240,3,Jota,76,76,LIV,27,1.93,62,3.312,63,4.496,62,3.701,62,4.104
241,2,Phillips,43,43,LIV,0,0,0,0,0,0,0,0,0,0
242,1,Kelleher,44,44,LIV,89,3.977,43,1.622,25,1.143,2,0.082,3,0.129
243,2,Konaté,52,52,LIV,1,0.045,3,0.111,4,0.184,6,0.242,4,0.175
244,3,Jones,50,50,LIV,0,0,0,0,0,0,0,0,0,0
245,2,Tsimikas,40,40,LIV,1,0.044,6,0.22,9,0.449,10,0.427,18,0.873
246,2,N.Williams,39,39,LIV,0,0,0,0,0,0,0,0,0,0
247,2,R.Williams,44,44,LIV,0,0,0,0,0,0,0,0,0,0
248,2,Davies,40,40,LIV,0,0,0,0,0,0,0,0,0,0
506,3,Elliott,54,54,LIV,0,0,0,0,0,0,0,0,0,0
553,3,Woodburn,45,45,LIV,0,0,0,0,0,0,0,0,0,0
33,3,Grealish,79,79,MCI,74,5.382,76,4.532,75,5.364,68,3.49,70,4.671
249,2,Walker,55,55,MCI,86,4.567,83,3.628,81,4.232,78,2.629,79,3.847
250,3,Gündogan,72,72,MCI,61,3.823,65,3.502,60,3.779,66,3.059,65,3.808
251,3,De Bruyne,119,119,MCI,78,5.818,74,4.672,76,5.733,76,3.912,70,4.892
252,2,Stones,53,53,MCI,19,1.037,21,0.965,22,1.197,29,1.04,21,1.065
253,2,Mendy,53,53,MCI,0,0,0,0,0,0,0,0,0,0
254,3,Mahrez,87,87,MCI,68,6.18,27,2.185,23,2.262,23,1.667,20,1.828
255,3,Sterling,107,107,MCI,73,5.912,68,4.429,61,4.938,58,3.35,60,4.549
256,2,Cancelo,62,61,MCI,86,5.047,84,3.995,79,4.563,79,2.868,79,4.19
257,1,Ederson,60,60,MCI,0,0,32,1.411,67,3.253,88,3.465,87,4.053
258,2,Aké,49,49,MCI,7,0.311,12,0.511,15,0.766,17,0.628,16,0.788
259,2,Laporte,55,55,MCI,65,3.676,59,2.737,57,3.157,57,2.016,63,3.262
260,1,Steffen,45,45,MCI,88,4.311,57,2.506,20,0.967,1,0.04,2,0.093
261,3,Bernardo,69,69,MCI,57,2.638,45,1.892,45,2.109,46,1.721,45,2.021
262,2,Dias,62,62,MCI,88,4.611,87,3.725,84,4.317,78,2.561,81,3.872
263,4,Jesus,86,86,MCI,0,0,32,1.631,52,3.219,70,3.249,70,4.052
264,2,Zinchenko,53,53,MCI,6,0.298,10,0.454,16,0.835,16,0.626,17,0.853
265,3,Foden,80,80,MCI,41,3.583,56,3.932,53,4.451,48,2.866,48,3.705
266,3,Rodrigo,55,55,MCI,76,3.11,80,2.916,78,3.214,68,2.253,73,2.909
268,3,Torres,69,69,MCI,0,0,0,0,0,0,0,0,0,0
453,3,Fernandinho,49,49,MCI,5,0.241,9,0.398,11,0.517,9,0.374,11,0.502
507,3,Palmer,45,45,MCI,0,0,1,0.055,0,0,1,0.051,1,0.057
508,3,Edozie,49,49,MCI,0,0,0,0,0,0,0,0,0,0
566,3,Doyle,45,45,MCI,0,0,0,0,0,0,0,0,0,0
593,1,Carson,40,40,MCI,1,0.049,0,0,1,0.049,0,0,0,0
603,2,Mbete,40,40,MCI,0,0,0,0,0,0,0,0,0,0
604,2,Wilson-Esbrand,40,40,MCI,0,0,0,0,0,0,0,0,0,0
605,3,Lavia,45,45,MCI,0,0,0,0,0,0,0,0,0,0
269,4,Cavani,84,84,MUN,0,0,2,0.123,2,0.122,4,0.235,5,0.344
270,1,de Gea,51,51,MUN,89,3.62,88,3.335,86,3.379,86,3.2,82,3.558
271,3,Matic,45,45,MUN,20,0.767,17,0.645,18,0.684,13,0.496,16,0.65
272,3,Pogba,77,77,MUN,82,3.218,74,2.861,66,2.706,62,2.479,60,2.955
273,2,Maguire,54,54,MUN,18,0.654,55,1.661,80,2.641,81,2.257,79,3.358
274,3,Fred,49,49,MUN,0,0,23,0.772,43,1.453,62,2,60,2.249
