id,first_name,second_name,team,Top_100,Top_1K,Top_10K,Top_100K,Top_1M,Overall
109,Antonio,Rüdiger,5,2.5,1.4388489208633095,2.1621621621621623,1.0443864229765014,1.0389610389610389,0.9009009009009009
110,Kurt,Zouma,5,2.5,2.158273381294964,1.3513513513513513,1.8276762402088773,5.714285714285714,15.915915915915916
111,Emerson,Palmieri dos Santos,5,0.0,0.0,0.0,0.0,0.0,0.0
112,Kepa,Arrizabalaga,5,0.0,0.0,0.0,0.0,0.0,0.6006006006006006
113,N'Golo,Kanté,5,0.0,0.0,0.0,0.0,0.0,2.8528528528528527
114,Hakim,Ziyech,5,1.25,0.3597122302158274,0.2702702702702703,0.7832898172323759,1.2987012987012987,2.5525525525525525
116,Andreas,Christensen,5,0.0,0.0,0.0,0.0,0.0,0.0
117,Timo,Werner,5,1.25,0.7194244604316548,1.3513513513513513,2.088772845953003,3.6363636363636362,13.213213213213212
118,Tammy,Abraham,5,1.25,0.3597122302158274,0.5405405405405406,0.7832898172323759,0.7792207792207793,3.7537537537537538
119,Christian,Pulisic,5,0.0,0.3597122302158274,0.2702702702702703,0.26109660574412535,0.5194805194805194,3.153153153153153
120,Mason,Mount,5,2.5,1.4388489208633095,0.5405405405405406,1.0443864229765014,1.2987012987012987,4.354354354354354
121,Fikayo,Tomori,5,0.0,0.0,0.0,0.0,0.0,0.0
122,Callum,Hudson-Odoi,5,0.0,0.0,0.0,0.0,0.0,0.3003003003003003
123,Reece,James,5,1.25,3.237410071942446,2.4324324324324325,4.177545691906006,2.857142857142857,6.456456456456457
124,Billy,Gilmour,5,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
232,Benjamin,Chilwell,5,20.0,17.26618705035971,18.10810810810811,22.45430809399478,23.636363636363637,23.123123123123122
490,Thiago,Thiago,5,0.0,0.3597122302158274,0.5405405405405406,1.0443864229765014,2.0779220779220777,4.804804804804805
500,Kai,Havertz,5,0.0,0.0,0.0,0.0,0.0,3.453453453453453
548,Edouard,Mendy,5,10.0,9.712230215827338,7.567567567567568,6.527415143603134,4.415584415584416,7.957957957957958
593,Karlo,Ziger,5,0.0,0.3597122302158274,0.2702702702702703,0.0,1.0389610389610389,1.0510510510510511
605,Faustino,Anjorin,5,0.0,0.0,0.0,0.0,0.0,0.0
698,Valentino,Livramento,5,0.0,0.0,0.0,0.0,0.0,0.0
108,Michy,Batshuayi,6,0.0,0.0,0.0,0.0,0.0,0.45045045045045046
125,Gary,Cahill,6,0.0,0.0,0.0,0.0,0.0,0.0
126,Wayne,Hennessey,6,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
127,Mamadou,Sakho,6,0.0,0.0,0.0,0.0,0.0,0.3003003003003003
128,Vicente,Guaita,6,0.0,1.079136690647482,0.5405405405405406,0.7832898172323759,3.116883116883117,3.7537537537537538
