id,first_name,second_name,team,Top_100_in,Top_1K_in,Top_10K_in,Top_50K_in,Top_100K_in,Top_250K_in,Top_500K_in,Top_100_out,Top_1K_out,Top_10K_out,Top_50K_out,Top_100K_out,Top_250K_out,Top_500K_out
236,Kristoffer,Klaesson,11,0.0,0.0,0.0,0.025,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.02,0.004
237,Sam,Greenwood,11,0.0,0.6,0.44999999999999996,0.5,0.52,0.5133333333333333,0.5720000000000001,0.0,2.4,1.35,1.575,1.54,1.5733333333333333,1.624
238,Illan,Meslier,11,0.0,0.8,0.6,0.325,0.86,0.6466666666666666,0.58,0.0,0.0,0.1,0.125,0.27999999999999997,0.11333333333333334,0.104
239,Junior,Firpo Adames,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,Crysencio,Summerville,11,0.0,0.0,0.0,0.075,0.08,0.04,0.052,0.0,0.0,0.1,0.22499999999999998,0.16,0.15333333333333335,0.192
241,Lewis,Bate,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,Joe,Gelhardt,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.02,0.013333333333333334,0.016
243,Leo Fuhr,Hjelde,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0
244,Rasmus,Kristensen,11,0.0,0.0,0.0,0.0,0.04,0.006666666666666667,0.052,0.0,0.0,0.0,0.0,0.04,0.0,0.012
245,Marc,Roca Junqué,11,0.0,0.0,0.0,0.0,0.02,0.02,0.008,0.0,0.0,0.0,0.0,0.02,0.006666666666666667,0.004
246,Brenden,Aaronson,11,0.0,0.0,0.1,0.075,0.13999999999999999,0.08,0.1,0.0,0.0,0.0,0.0,0.04,0.02666666666666667,0.032
247,Darko,Gyabi,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004
506,Tyler,Adams,11,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
508,Luis,Sinisterra Lucumí,11,0.0,0.0,0.05,0.075,0.16,0.08666666666666667,0.084,0.0,0.0,0.05,0.0,0.02,0.0,0.02
547,Cody,Drameh,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
565,Archie,Gray,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
578,Joel,Robles,11,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.004
619,Wilfried,Gnonto,11,2.666666666666667,3.0,3.6999999999999997,3.225,3.9600000000000004,3.2800000000000002,2.876,0.0,0.0,0.4,0.17500000000000002,0.4,0.26,0.292
659,Mateo Joseph,Fernández,11,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
663,Sonny,Perkins,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004
691,Maximilian,Wöber,11,1.3333333333333335,0.4,0.25,0.2,0.18,0.16666666666666669,0.22399999999999998,1.3333333333333335,0.0,0.1,0.025,0.02,0.02666666666666667,0.027999999999999997
700,Georginio,Rutter,11,0.0,0.0,0.1,0.025,0.0,0.04,0.036000000000000004,0.0,0.0,0.0,0.0,0.0,0.02,0.004
720,Weston,McKennie,11,0.0,0.2,0.0,0.05,0.02,0.07333333333333333,0.084,0.0,0.2,0.0,0.025,0.0,0.006666666666666667,0.004
274,James,Milner,12,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0
275,Jordan,Henderson,12,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004
276,Joel,Matip,12,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.036000000000000004
277,Thiago,Alcántara do Nascimento,12,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008
278,Alex,Oxlade-Chamberlain,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,Roberto,Firmino,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.012
280,Virgil,van Dijk,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.125,0.12,0.14666666666666667,0.244
281,Alisson,Ramses Becker,12,0.0,0.0,0.0,0.075,0.1,0.07333333333333333,0.128,0.0,0.2,0.44999999999999996,0.325,0.26,0.33333333333333337,0.396
282,Fabio Henrique,Tavares,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004
283,Mohamed,Salah,12,0.0,0.0,0.05,0.2,0.16,0.12666666666666665,0.156,9.333333333333334,6.4,9.5,7.95,8.52,8.799999999999999,8.524
284,Andrew,Robertson,12,0.0,0.4,0.25,0.5,0.42,0.5666666666666667,0.48,0.0,0.8,0.5499999999999999,0.44999999999999996,0.58,0.5266666666666667,0.524
285,Trent,Alexander-Arnold,12,0.0,0.0,0.25,0.125,0.12,0.19333333333333333,0.244,0.0,1.7999999999999998,0.4,0.675,0.86,0.7266666666666667,0.8840000000000001
286,Joseph,Gomez,12,0.0,0.0,0.1,0.075,0.08,0.16666666666666669,0.152,0.0,0.0,0.25,0.025,0.02,0.06,0.132
287,Naby,Keita,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,Diogo,Teixeira da Silva,12,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,Caoimhin,Kelleher,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.012
290,Ibrahima,Konaté,12,0.0,0.0,0.0,0.025,0.0,0.013333333333333334,0.068,0.0,0.0,0.0,0.05,0.02,0.07333333333333333,0.092
291,Curtis,Jones,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,Konstantinos,Tsimikas,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.02
293,Luis,Díaz,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004
294,Harvey,Elliott,12,0.0,0.0,0.0,0.0,0.04,0.013333333333333334,0.008,0.0,0.0,0.0,0.0,0.02,0.04,0.048
296,Fábio,Freitas Gouveia Carvalho,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.02,0.006666666666666667,0.008
297,Darwin,Núñez Ribeiro,12,0.0,0.2,0.35000000000000003,0.17500000000000002,0.22,0.18666666666666668,0.264,6.666666666666667,0.8,1.4500000000000002,1.55,1.5599999999999998,1.8066666666666669,1.8159999999999998
298,Calvin,Ramsay,12,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.008
497,Adrián,San Miguel del Castillo,12,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.02,0.006666666666666667,0.012
498,Rhys,Williams,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
499,Ben,Davies,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,Sepp,van den Berg,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
501,Nathaniel,Phillips,12,0.0,0.0,0.0,0.0,0.02,0.0,0.024,0.0,0.0,0.0,0.0,0.04,0.006666666666666667,0.008
563,Luke,Chambers,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
564,Stefan,Bajcetic,12,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004
584,Bobby,Clark,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
592,Harvey,Davies,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
620,Arthur Henrique,Ramos de Oliveira Melo,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
665,Ben,Doak,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
680,Cody,Gakpo,12,0.0,0.0,0.0,0.075,0.04,0.04666666666666667,0.096,0.0,0.0,0.2,0.125,0.27999999999999997,0.36666666666666664,0.304
299,Kyle,Walker,13,0.0,0.0,0.0,0.05,0.02,0.08,0.124,1.3333333333333335,1.4000000000000001,0.8500000000000001,1.325,0.7000000000000001,0.8200000000000001,0.732
300,Ilkay,Gündogan,13,0.0,0.0,0.05,0.0,0.0,0.013333333333333334,0.04,0.0,0.0,0.0,0.075,0.04,0.03333333333333333,0.036000000000000004
301,Kevin,De Bruyne,13,1.3333333333333335,0.6,0.7000000000000001,0.65,0.74,0.88,1.268,18.666666666666668,21.0,23.0,22.55,20.52,19.35333333333333,16.808
302,John,Stones,13,0.0,0.0,0.4,0.475,0.66,0.35333333333333333,0.492,2.666666666666667,1.2,1.0,1.2,1.6,1.0133333333333332,1.04
303,Riyad,Mahrez,13,1.3333333333333335,5.2,3.15,3.45,3.74,3.7600000000000002,4.16,4.0,1.6,1.7500000000000002,1.3,1.52,1.3066666666666666,1.2
305,Jack,Grealish,13,0.0,0.0,0.0,0.1,0.04,0.05333333333333334,0.12,0.0,0.0,0.1,0.15,0.1,0.12666666666666665,0.22399999999999998
306,João,Cancelo,13,0.0,0.4,0.0,0.05,0.1,0.06,0.08800000000000001,16.0,13.600000000000001,17.549999999999997,18.7,20.54,22.16,23.936
307,Ederson,Santana de Moraes,13,1.3333333333333335,1.2,0.6,0.35000000000000003,0.6799999999999999,0.62,0.5519999999999999,4.0,2.1999999999999997,0.8500000000000001,0.8500000000000001,1.2,1.0999999999999999,1.024
308,Nathan,Aké,13,2.666666666666667,2.1999999999999997,2.15,2.4,2.76,2.2666666666666666,2.2960000000000003,0.0,1.6,0.44999999999999996,0.65,0.96,0.5466666666666666,0.596
309,Aymeric,Laporte,13,0.0,0.0,0.1,0.05,0.06,0.05333333333333334,0.096,0.0,0.0,0.1,0.025,0.0,0.04,0.02
310,Zack,Steffen,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,Bernardo,Veiga de Carvalho e Silva,13,0.0,0.0,0.0,0.025,0.0,0.013333333333333334,0.032,0.0,0.4,0.15,0.42500000000000004,0.13999999999999999,0.35333333333333333,0.356
312,Rúben,Gato Alves Dias,13,0.0,0.0,0.1,0.05,0.1,0.08666666666666667,0.132,0.0,0.2,0.05,0.025,0.02,0.02,0.052
314,Phil,Foden,13,0.0,0.0,0.0,0.025,0.04,0.02666666666666667,0.012,1.3333333333333335,1.0,2.0,2.1999999999999997,2.78,2.8000000000000003,3.036
315,Rodrigo,Hernandez,13,0.0,0.0,0.0,0.025,0.04,0.013333333333333334,0.008,0.0,0.0,0.15,0.075,0.06,0.06666666666666667,0.04
