date,time,squad_h,squad_a,stadium,referee,attendance
2018-04-01,13:30 ,Arsenal,Stoke City,Emirates Stadium,Craig Pawson,59371
2018-04-01,16:00 ,Chelsea,Tottenham,Stamford Bridge,Andre Marriner,41364
2018-04-07,12:30 ,Everton,Liverpool,Goodison Park,Michael Oliver,39220
2018-04-07,15:00 ,Leicester City,Newcastle Utd,King Power Stadium,Stuart Attwell,32066
2018-04-07,15:00 ,Watford,Burnley,Vicarage Road Stadium,Paul Tierney,20044
2018-04-07,15:00 ,Brighton,Huddersfield,The American Express Community Stadium,Anthony Taylor,30501
2018-04-07,15:00 ,Bournemouth,Crystal Palace,Vitality Stadium,Jonathan Moss,10730
2018-04-07,15:00 ,Stoke City,Tottenham,Bet365 Stadium,Graham Scott,29515
2018-04-07,15:00 ,West Brom,Swansea City,The Hawthorns,Roger East,23297
2018-04-07,17:30 ,Manchester City,Manchester Utd,Etihad Stadium,Martin Atkinson,54259
2018-04-08,14:15 ,Arsenal,Southampton,Emirates Stadium,Andre Marriner,59374
2018-04-08,16:30 ,Chelsea,West Ham,Stamford Bridge,Kevin Friend,41324
2018-04-14,12:30 ,Southampton,Chelsea,St. Mary's Stadium,Mike Dean,31764
2018-04-14,15:00 ,Swansea City,Everton,Liberty Stadium,Lee Mason,20933
2018-04-14,15:00 ,Burnley,Leicester City,Turf Moor,Martin Atkinson,21727
2018-04-14,15:00 ,Huddersfield,Watford,The John Smith's Stadium,Craig Pawson,23961
2018-04-14,15:00 ,Crystal Palace,Brighton,Selhurst Park,Andre Marriner,24656
2018-04-14,17:30 ,Liverpool,Bournemouth,Anfield,Chris Kavanagh,52959
2018-04-14,19:45 ,Tottenham,Manchester City,Wembley Stadium,Jonathan Moss,80811
2018-04-15,13:30 ,Newcastle Utd,Arsenal,St. James' Park,Anthony Taylor,52210
2018-04-15,16:00 ,Manchester Utd,West Brom,Old Trafford,Paul Tierney,75095
2018-04-16,20:00 ,West Ham,Stoke City,London Stadium,Michael Oliver,56795
2018-04-17,19:45 ,Brighton,Tottenham,The American Express Community Stadium,Kevin Friend,30440
2018-04-18,19:45 ,Bournemouth,Manchester Utd,Vitality Stadium,Graham Scott,10952
2018-04-19,19:45 ,Burnley,Chelsea,Turf Moor,Robert Madley,21264
2018-04-19,19:45 ,Leicester City,Southampton,King Power Stadium,Roger East,31160
2018-04-21,12:30 ,West Brom,Liverpool,The Hawthorns,Stuart Attwell,24520
2018-04-21,15:00 ,Watford,Crystal Palace,Vicarage Road Stadium,Chris Kavanagh,20401
2018-04-22,13:30 ,Arsenal,West Ham,Emirates Stadium,Lee Mason,59422
2018-04-22,13:30 ,Stoke City,Burnley,Bet365 Stadium,Mike Dean,29532
2018-04-22,16:30 ,Manchester City,Swansea City,Etihad Stadium,Craig Pawson,54387
2018-04-23,20:00 ,Everton,Newcastle Utd,Goodison Park,Robert Madley,39061
2018-04-28,12:30 ,Liverpool,Stoke City,Anfield,Andre Marriner,53255
2018-04-28,15:00 ,Newcastle Utd,West Brom,St. James' Park,David Coote,52283
2018-04-28,15:00 ,Huddersfield,Everton,The John Smith's Stadium,Lee Probert,24121
2018-04-28,15:00 ,Southampton,Bournemouth,St. Mary's Stadium,Anthony Taylor,31778
2018-04-28,15:00 ,Burnley,Brighton,Turf Moor,Roger East,19459
2018-04-28,15:00 ,Crystal Palace,Leicester City,Selhurst Park,Mike Dean,25750
2018-04-28,17:30 ,Swansea City,Chelsea,Liberty Stadium,Jonathan Moss,20900
2018-04-29,14:15 ,West Ham,Manchester City,London Stadium,Niel Swarbrick,56904
2018-04-29,16:30 ,Manchester Utd,Arsenal,Old Trafford,Kevin Friend,75035
2018-04-30,20:00 ,Tottenham,Watford,Wembley Stadium,Michael Oliver,52675
2018-05-04,20:00 ,Brighton,Manchester Utd,The American Express Community Stadium,Craig Pawson,30611
2018-05-05,12:30 ,Stoke City,Crystal Palace,Bet365 Stadium,Martin Atkinson,29687
2018-05-05,15:00 ,Watford,Newcastle Utd,Vicarage Road Stadium,Roger East,20375
2018-05-05,15:00 ,West Brom,Tottenham,The Hawthorns,Mike Jones,23685
2018-05-05,15:00 ,Bournemouth,Swansea City,Vitality Stadium,Kevin Friend,10820
2018-05-05,15:00 ,Leicester City,West Ham,King Power Stadium,Chris Kavanagh,32013
2018-05-05,17:30 ,Everton,Southampton,Goodison Park,Jonathan Moss,38225
2018-05-06,13:30 ,Manchester City,Huddersfield,Etihad Stadium,Mike Dean,54350
2018-05-06,16:30 ,Arsenal,Burnley,Emirates Stadium,Andre Marriner,59540
2018-05-06,16:30 ,Chelsea,Liverpool,Stamford Bridge,Anthony Taylor,41314
2018-05-08,19:45 ,Swansea City,Southampton,Liberty Stadium,Michael Oliver,20858
2018-05-09,19:45 ,Leicester City,Arsenal,King Power Stadium,Graham Scott,32095
2018-05-09,19:45 ,Chelsea,Huddersfield,Stamford Bridge,Lee Mason,38910
2018-05-09,20:00 ,Manchester City,Brighton,Etihad Stadium,Paul Tierney,54013
2018-05-09,20:00 ,Tottenham,Newcastle Utd,Wembley Stadium,Niel Swarbrick,54923
2018-05-10,19:45 ,West Ham,Manchester Utd,London Stadium,Jonathan Moss,56902
2018-05-13,15:00 ,Burnley,Bournemouth,Turf Moor,Paul Tierney,20720
2018-05-13,15:00 ,Liverpool,Brighton,Anfield,Kevin Friend,50752
2018-05-13,15:00 ,West Ham,Everton,London Stadium,Graham Scott,56926
2018-05-13,15:00 ,Newcastle Utd,Chelsea,St. James' Park,Martin Atkinson,52294
2018-05-13,15:00 ,Southampton,Manchester City,St. Mary's Stadium,Andre Marriner,31882
2018-05-13,15:00 ,Crystal Palace,West Brom,Selhurst Park,Jonathan Moss,25357
2018-05-13,15:00 ,Tottenham,Leicester City,Wembley Stadium,Craig Pawson,77841
2018-05-13,15:00 ,Huddersfield,Arsenal,The John Smith's Stadium,Michael Oliver,24122
2018-05-13,15:00 ,Manchester Utd,Watford,Old Trafford,Lee Mason,75049
2018-05-13,15:00 ,Swansea City,Stoke City,Liberty Stadium,Anthony Taylor,20673
