Player,Nation,Age,Min,SoTA,GA,Shot Stopping Saves,Shot Stopping Save%,Shot Stopping PSxG,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper AvgDist,home,date,squad_h,squad_a
Julián Speroni,ar ARG,38-205,90.0,5,2,3,60.0,1.1,17,26,65.4,21,2,90.5,57.5,8,87.5,57.9,8,0,0.0,0,13.6,1.0,2017-12-09,Crystal Palace,Bournemouth
Asmir Begović,ba BIH,30-172,90.0,6,2,5,83.3,3.7,7,17,41.2,20,1,50.0,44.0,12,58.3,46.3,11,0,0.0,0,,0.0,2017-12-09,Crystal Palace,Bournemouth
Hugo Lloris,fr FRA,30-348,90.0,4,1,3,75.0,1.1,3,3,100.0,21,6,14.3,27.3,4,0.0,23.5,5,0,0.0,0,12.2,1.0,2017-12-09,Tottenham,Stoke City
Jack Butland,eng ENG,24-274,90.0,11,5,7,54.5,4.1,14,33,42.4,25,0,92.0,61.2,10,100.0,68.7,12,0,0.0,0,12.7,0.0,2017-12-09,Tottenham,Stoke City
Jonas Lössl,dk DEN,28-311,90.0,2,0,2,100.0,0.0,12,33,36.4,41,2,68.3,48.8,6,83.3,60.5,6,0,0.0,1,16.8,1.0,2017-12-09,Huddersfield,Brighton
Mathew Ryan,au AUS,25-245,90.0,6,2,4,66.7,1.9,10,32,31.3,28,4,78.6,48.9,11,90.9,64.8,9,0,0.0,1,15.6,0.0,2017-12-09,Huddersfield,Brighton
Łukasz Fabiański,pl POL,32-235,90.0,1,0,1,100.0,0.0,6,14,42.9,21,7,38.1,36.3,7,85.7,64.6,8,2,25.0,0,13.3,1.0,2017-12-09,Swansea City,West Brom
Ben Foster,eng ENG,34-250,90.0,3,1,2,66.7,1.0,10,25,40.0,23,4,60.9,49.4,12,91.7,64.9,18,0,0.0,1,11.7,0.0,2017-12-09,Swansea City,West Brom
Karl Darlow,eng ENG,27-062,90.0,5,3,3,40.0,0.7,6,18,33.3,17,2,64.7,48.5,8,87.5,59.0,10,0,0.0,0,10.5,1.0,2017-12-09,Newcastle Utd,Leicester City
Kasper Schmeichel,dk DEN,31-034,90.0,4,2,2,50.0,1.2,14,28,50.0,28,0,78.6,49.9,7,85.7,60.9,5,1,20.0,1,19.0,0.0,2017-12-09,Newcastle Utd,Leicester City
Fraser Forster,eng ENG,29-268,90.0,6,1,5,83.3,2.6,5,20,25.0,18,2,88.9,63.0,4,100.0,80.0,12,2,16.7,0,7.0,1.0,2017-12-10,Southampton,Arsenal
Petr Čech,cz CZE,35-204,90.0,3,1,2,66.7,1.3,5,10,50.0,31,11,22.6,29.7,4,75.0,58.0,4,1,25.0,2,14.5,0.0,2017-12-10,Southampton,Arsenal
Simon Mignolet,be BEL,29-279,90.0,1,1,1,100.0,1.0,1,3,33.3,16,5,6.3,24.1,5,40.0,41.4,2,1,50.0,1,20.0,1.0,2017-12-10,Liverpool,Everton
Jordan Pickford,eng ENG,23-278,90.0,3,1,2,66.7,1.4,16,41,39.0,23,2,95.7,69.8,19,100.0,82.2,21,1,4.8,3,13.2,0.0,2017-12-10,Liverpool,Everton
David de Gea,es ESP,27-033,90.0,7,2,5,71.4,2.3,9,24,37.5,25,0,68.0,50.0,10,70.0,54.5,1,0,0.0,2,13.4,1.0,2017-12-10,Manchester Utd,Manchester City
Ederson,br BRA,24-115,90.0,5,1,4,80.0,1.4,3,14,21.4,31,3,32.3,32.0,6,66.7,53.5,4,0,0.0,1,18.8,0.0,2017-12-10,Manchester Utd,Manchester City
