date,time,squad_h,squad_a,stadium,referee,attendance
2019-03-31,16:30 ,Liverpool,Tottenham,Anfield,Martin Atkinson,53322
2019-04-01,20:00 ,Arsenal,Newcastle Utd,Emirates Stadium,Anthony Taylor,59869
2019-04-02,19:45 ,Wolves,Manchester Utd,Molineux Stadium,Mike Dean,31302
2019-04-02,19:45 ,Watford,Fulham,Vicarage Road Stadium,Roger East,17301
2019-04-03,19:45 ,Chelsea,Brighton,Stamford Bridge,Graham Scott,38593
2019-04-03,19:45 ,Tottenham,Crystal Palace,Tottenham Hotspur Stadium,Andre Marriner,59215
2019-04-03,19:45 ,Manchester City,Cardiff City,Etihad Stadium,Jonathan Moss,53559
2019-04-05,20:00 ,Southampton,Liverpool,St. Mary's Stadium,Paul Tierney,31797
2019-04-06,15:00 ,Huddersfield,Leicester City,The John Smith's Stadium,David Coote,24126
2019-04-06,15:00 ,Newcastle Utd,Crystal Palace,St. James' Park,Stuart Attwell,51926
2019-04-06,15:00 ,Bournemouth,Burnley,Vitality Stadium,Martin Atkinson,10446
2019-04-07,14:05 ,Everton,Arsenal,Goodison Park,Kevin Friend,39400
2019-04-08,20:00 ,Chelsea,West Ham,Stamford Bridge,Chris Kavanagh,40537
2019-04-12,20:00 ,Leicester City,Newcastle Utd,King Power Stadium,Chris Kavanagh,32108
2019-04-13,12:30 ,Tottenham,Huddersfield,Tottenham Hotspur Stadium,Lee Mason,58308
2019-04-13,15:00 ,Burnley,Cardiff City,Turf Moor,Mike Dean,21480
2019-04-13,15:00 ,Fulham,Everton,Craven Cottage,Lee Probert,24971
2019-04-13,15:00 ,Southampton,Wolves,St. Mary's Stadium,Jonathan Moss,31708
2019-04-13,15:00 ,Brighton,Bournemouth,The American Express Community Stadium,Kevin Friend,30460
2019-04-13,17:30 ,Manchester Utd,West Ham,Old Trafford,Graham Scott,74478
2019-04-14,14:05 ,Crystal Palace,Manchester City,Selhurst Park,Martin Atkinson,25721
2019-04-14,16:30 ,Liverpool,Chelsea,Anfield,Michael Oliver,53279
2019-04-15,20:00 ,Watford,Arsenal,Vicarage Road Stadium,Craig Pawson,20480
2019-04-16,19:45 ,Brighton,Cardiff City,The American Express Community Stadium,Andre Marriner,30226
2019-04-20,12:30 ,Manchester City,Tottenham,Etihad Stadium,Michael Oliver,54489
2019-04-20,15:00 ,Huddersfield,Watford,The John Smith's Stadium,Roger East,23957
2019-04-20,15:00 ,Bournemouth,Fulham,Vitality Stadium,David Coote,10511
2019-04-20,15:00 ,Wolves,Brighton,Molineux Stadium,Craig Pawson,31096
2019-04-20,15:00 ,West Ham,Leicester City,London Stadium,Lee Probert,59960
2019-04-20,17:30 ,Newcastle Utd,Southampton,St. James' Park,Anthony Taylor,52191
2019-04-21,13:30 ,Everton,Manchester Utd,Goodison Park,Paul Tierney,39395
2019-04-21,16:00 ,Arsenal,Crystal Palace,Emirates Stadium,Jonathan Moss,59929
2019-04-21,16:00 ,Cardiff City,Liverpool,Cardiff City Stadium,Martin Atkinson,33082
2019-04-22,20:00 ,Chelsea,Burnley,Stamford Bridge,Kevin Friend,40642
2019-04-23,19:45 ,Watford,Southampton,Vicarage Road Stadium,Mike Dean,19170
2019-04-23,19:45 ,Tottenham,Brighton,Tottenham Hotspur Stadium,Chris Kavanagh,56251
2019-04-24,19:45 ,Wolves,Arsenal,Molineux Stadium,Stuart Attwell,31436
2019-04-24,20:00 ,Manchester Utd,Manchester City,Old Trafford,Andre Marriner,74431
2019-04-26,20:00 ,Liverpool,Huddersfield,Anfield,Kevin Friend,53249
2019-04-27,12:30 ,Tottenham,West Ham,Tottenham Hotspur Stadium,Anthony Taylor,60043
2019-04-27,15:00 ,Fulham,Cardiff City,Craven Cottage,Chris Kavanagh,23822
2019-04-27,15:00 ,Watford,Wolves,Vicarage Road Stadium,Simon Hooper,20323
2019-04-27,15:00 ,Southampton,Bournemouth,St. Mary's Stadium,Graham Scott,31310
2019-04-27,15:00 ,Crystal Palace,Everton,Selhurst Park,Lee Mason,25789
2019-04-27,17:30 ,Brighton,Newcastle Utd,The American Express Community Stadium,Mike Dean,30587
2019-04-28,12:00 ,Leicester City,Arsenal,King Power Stadium,Michael Oliver,32037
2019-04-28,14:05 ,Burnley,Manchester City,Turf Moor,Paul Tierney,21605
2019-04-28,16:30 ,Manchester Utd,Chelsea,Old Trafford,Martin Atkinson,74526
2019-05-03,20:00 ,Everton,Burnley,Goodison Park,Chris Kavanagh,39303
2019-05-04,12:30 ,Bournemouth,Tottenham,Vitality Stadium,Craig Pawson,10630
2019-05-04,15:00 ,Wolves,Fulham,Molineux Stadium,Jonathan Moss,30456
2019-05-04,15:00 ,West Ham,Southampton,London Stadium,Stuart Attwell,59961
2019-05-04,17:30 ,Cardiff City,Crystal Palace,Cardiff City Stadium,Michael Oliver,32133
2019-05-04,19:45 ,Newcastle Utd,Liverpool,St. James' Park,Andre Marriner,52206
2019-05-05,14:00 ,Huddersfield,Manchester Utd,The John Smith's Stadium,Lee Mason,24263
2019-05-05,14:00 ,Chelsea,Watford,Stamford Bridge,Paul Tierney,40560
2019-05-05,16:30 ,Arsenal,Brighton,Emirates Stadium,Anthony Taylor,59965
2019-05-06,20:00 ,Manchester City,Leicester City,Etihad Stadium,Mike Dean,54506
2019-05-12,15:00 ,Brighton,Manchester City,The American Express Community Stadium,Michael Oliver,30662
2019-05-12,15:00 ,Manchester Utd,Cardiff City,Old Trafford,Jonathan Moss,74457
2019-05-12,15:00 ,Liverpool,Wolves,Anfield,Martin Atkinson,53331
2019-05-12,15:00 ,Southampton,Huddersfield,St. Mary's Stadium,Lee Probert,30367
2019-05-12,15:00 ,Fulham,Newcastle Utd,Craven Cottage,Kevin Friend,24979
2019-05-12,15:00 ,Crystal Palace,Bournemouth,Selhurst Park,Roger East,25433
2019-05-12,15:00 ,Burnley,Arsenal,Turf Moor,Mike Dean,21461
2019-05-12,15:00 ,Leicester City,Chelsea,King Power Stadium,Anthony Taylor,32140
2019-05-12,15:00 ,Tottenham,Everton,Tottenham Hotspur Stadium,Andre Marriner,60124
2019-05-12,15:00 ,Watford,West Ham,Vicarage Road Stadium,Chris Kavanagh,20067
