rank,prev_rank,name,league,off,def,spi
222,226.0,Galatasaray,Turkish Turkcell Super Lig,1.41,1.45,45.05
223,264.0,Panathinaikos,Greek Super League,1.11,1.11,45.03
224,219.0,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.47,1.52,44.87
225,227.0,Cercle Brugge,Belgian Jupiler League,1.29,1.32,44.87
226,200.0,Vissel Kobe,Japanese J League,1.33,1.38,44.82
227,225.0,Atlanta United FC,Major League Soccer,1.35,1.41,44.55
228,246.0,Rubin Kazan,Russian Premier Liga,1.26,1.31,44.51
229,228.0,Moreirense,Portuguese Liga,1.19,1.23,44.46
230,300.0,Urawa Red Diamonds,Japanese J League,1.26,1.31,44.42
231,224.0,Cardiff City,English League Championship,1.19,1.23,44.42
232,255.0,Lecce,Italy Serie B,1.25,1.3,44.33
233,231.0,CSKA Sofia,UEFA Europa Conference League,1.12,1.17,44.21
234,238.0,Vizela,Portuguese Liga,1.29,1.36,44.17
235,235.0,Heerenveen,Dutch Eredivisie,1.38,1.46,44.12
236,233.0,Krylia Sovetov,Russian Premier Liga,1.16,1.22,44.06
237,229.0,Maritimo,Portuguese Liga,1.22,1.28,44.05
238,243.0,Millwall,English League Championship,1.16,1.22,44.04
239,245.0,Terek Grozny,Russian Premier Liga,1.21,1.27,43.99
240,237.0,Queens Park Rangers,English League Championship,1.2,1.26,43.95
241,276.0,Columbus Crew,Major League Soccer,1.42,1.51,43.87
242,272.0,Huddersfield Town,English League Championship,1.11,1.18,43.81
243,210.0,AEK Athens,Greek Super League,1.2,1.28,43.65
244,241.0,Rostov,Russian Premier Liga,1.44,1.55,43.62
245,242.0,Estudiantes,Argentina Primera Division,1.25,1.34,43.62
246,244.0,Pumas Unam,Mexican Primera Division Torneo Clausura,1.17,1.25,43.61
247,251.0,Minnesota United FC,Major League Soccer,1.37,1.48,43.39
248,240.0,Philadelphia Union,Major League Soccer,1.29,1.4,43.28
249,248.0,CFR 1907 Cluj,UEFA Europa Conference League,1.26,1.37,43.25
250,253.0,SV Darmstadt 98,German 2. Bundesliga,1.48,1.62,43.06
251,212.0,Konyaspor,Turkish Turkcell Super Lig,1.28,1.4,43.05
252,252.0,Argentinos Juniors,Argentina Primera Division,1.07,1.16,42.97
253,295.0,Nagoya Grampus Eight,Japanese J League,1.12,1.22,42.8
254,267.0,Tijuana,Mexican Primera Division Torneo Clausura,1.22,1.34,42.79
