id,first_name,second_name,team,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
116,Josh,Benson,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Bailey,Peacock-Farrell,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Dwight,McNeil,5,0.0,0.2,0.0,0.075,0.0,0.04666666666666667,0.084
451,Nathan,Collins,5,0.0,0.4,0.3,0.4,0.32,0.7266666666666667,1.008
480,Wayne,Hennessey,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
533,Lewis,Richardson,5,12.0,2.8000000000000003,3.35,3.2,3.2399999999999998,3.3333333333333335,3.428
534,Bobby,Thomas,5,0.0,0.0,0.0,0.0,0.0,0.0,0.02
565,Owen,Dodgson,5,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.012
575,Aaron,Lennon,5,0.0,0.0,0.0,0.0,0.0,0.05333333333333334,0.055999999999999994
578,Maxwel,Cornet,5,5.333333333333334,7.3999999999999995,3.15,1.3,1.3599999999999999,1.2066666666666666,1.476
585,Connor,Roberts,5,0.0,4.3999999999999995,2.8000000000000003,2.5,2.36,2.1466666666666665,2.204
700,Wout,Weghorst,5,40.0,44.2,38.7,31.525,30.9,27.253333333333334,23.552
708,Sam,Waller,5,0.0,0.0,0.0,0.0,0.0,0.0,0.004
726,Dara,Costelloe,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,César,Azpilicueta,6,0.0,0.0,0.05,0.17500000000000002,0.24,0.47333333333333333,0.58
120,Olivier,Giroud,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Thiago,Emiliano da Silva,6,0.0,3.4000000000000004,2.6,3.5749999999999997,4.38,5.1866666666666665,6.64
122,Marcos,Alonso,6,58.666666666666664,42.0,40.949999999999996,35.699999999999996,33.32,29.333333333333332,23.22
123,Jorge Luiz,Frello Filho,6,0.0,0.4,0.1,0.05,0.16,0.17333333333333334,0.348
124,Ross,Barkley,6,0.0,0.0,0.0,0.0,0.0,0.0,0.004
125,Mateo,Kovacic,6,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.032
126,Michy,Batshuayi,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,Antonio,Rüdiger,6,4.0,6.6000000000000005,7.75,8.225,9.44,9.879999999999999,10.856
129,Kepa,Arrizabalaga,6,0.0,0.0,0.0,0.0,0.02,0.02,0.027999999999999997
130,N'Golo,Kanté,6,0.0,0.0,0.05,0.05,0.06,0.3466666666666667,0.47600000000000003
131,Hakim,Ziyech,6,0.0,0.0,0.0,0.0,0.02,0.013333333333333334,0.084
132,Ruben,Loftus-Cheek,6,0.0,0.0,0.05,0.0,0.02,0.05333333333333334,0.068
133,Andreas,Christensen,6,0.0,0.0,0.0,0.0,0.04,0.09333333333333334,0.14400000000000002
134,Timo,Werner,6,4.0,7.199999999999999,7.95,8.575000000000001,9.74,9.84,9.5
135,Benjamin,Chilwell,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,Tammy,Abraham,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,Christian,Pulisic,6,0.0,0.0,0.0,0.025,0.02,0.0,0.012
138,Mason,Mount,6,49.333333333333336,46.2,50.349999999999994,53.025,52.300000000000004,48.486666666666665,42.652
139,Ethan,Ampadu,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,Callum,Hudson-Odoi,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,Kai,Havertz,6,24.0,33.0,29.849999999999998,28.875,25.779999999999998,22.593333333333334,18.716
142,Reece,James,6,50.66666666666667,47.4,50.9,51.025,46.800000000000004,41.06666666666667,31.644
143,Edouard,Mendy,6,0.0,1.2,1.3,1.825,1.8599999999999999,2.466666666666667,2.976
501,Malang,Sarr,6,0.0,0.0,0.0,0.0,0.04,0.04,0.032
527,Trevoh,Chalobah,6,0.0,0.4,0.35000000000000003,0.5,0.66,1.0466666666666669,1.496
529,Romelu,Lukaku,6,0.0,0.0,0.0,0.0,0.0,0.0,0.02
539,Emerson,Palmieri dos Santos,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
592,Saúl,Ñíguez,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606,Marcus,Bettinelli,6,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.004
671,Lewis,Hall,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
672,Harvey,Vale,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,Robert Kenedy,Nunes do Nascimento,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
