id,first_name,second_name,team,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
24,Christian,Nørgaard,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Ethan,Nwaneri,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Martín,Zubimendi Ibáñez,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Ismeal,Kabia,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Albert,Sambi Lokonga,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Kai,Havertz,1,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
31,Gabriel,Fernando de Jesus,1,0.0,0.0,0.0,0.0,0.02,0.0,0.0
266,Eberechi,Eze,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
662,Cristhian,Mosquera,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
666,Viktor,Gyökeres,1,0.0,0.0,0.0,0.0,0.02,0.02,0.027999999999999997
700,Max,Dowman,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
711,Andre,Harriman-Annous,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
725,Piero,Hincapié,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
759,Marli,Salmon,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Emiliano,Martínez Romero,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Marco,Bizot,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Joe,Gauci,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Filip,Marschall,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Matty,Cash,2,0.0,0.0,0.0,0.025,0.0,0.0,0.008
37,Lucas,Digne,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Ezri,Konsa Ngoyo,2,0.0,0.0,0.0,0.0,0.0,0.0,0.004
39,Ian,Maatsen,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tyrone,Mings,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Pau,Torres,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Andrés,García,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Álex,Moreno Lopera,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Lamare,Bogarde,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Lino,da Cruz Sousa,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Yasin,Özcan,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Morgan,Rogers,2,4.0,1.2,1.5,1.625,1.66,1.9333333333333333,1.9959999999999998
48,Youri,Tielemans,2,0.0,0.0,0.0,0.0,0.0,0.0,0.012
49,Leon,Bailey,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Emiliano,Buendía Stati,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Samuel,Iling-Junior,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Donyell,Malen,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,John,McGinn,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Ross,Barkley,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Enzo,Barrenechea,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Lewis,Dobbin,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Boubacar,Kamara,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Amadou,Onana,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Ben,Broggio,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Leander,Dendoncker,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Jamaldeen,Jimoh-Aloba,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Kadan,Young,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Ollie,Watkins,2,2.666666666666667,0.4,0.8999999999999999,0.8750000000000001,0.7799999999999999,0.8333333333333334,0.9199999999999999
65,Zépiqueno,Redmond,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
